TITLE,PRICE,RATING,DETAILS,RETURN POLICY
"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm Drivers, Rich Bass, Fast Charging Bluetooth  (Cobalt Mariner, True Wireless)",₹599,4,With Mic:Yes; Bluetooth version: 5.3; Wireless range: 10 m; ,7 Days Replacement Policy?; 
"HOUSE OF SOUND SERIES 1 Bluetooth  (Blue, In the Ear)",₹379,3.6,With Mic:Yes; Connector type: NO; Bluetooth version: 5; Wireless range: 10 m; Battery life: 40 hr | Charging time: 2; ,7 Days Replacement Policy?; 
"boAt Rockerz 255 Pro+ with ASAP Charge and upto 60 Hours Playback Bluetooth  (Active Black, In the Ear)","₹1,049",4.2,With Mic:Yes; Bluetooth version: 5.2; Wireless range: 10 m; Battery life: 60 hrs; 60 Hours Playback; ASAP Charge: 10 Mins Charge= 20 Hours Playback; boAt Signature Sound; IPX7: Water & Sweat Resistant; Dual Pairing: Connect 2 devices at once; ,7 Days Replacement Policy?; GST invoice available?; 
"ROAR WU-1045 P47 Headset Super Extra Bass Bluetooth Headset (Furious On the Ear) Bluetooth  (Multicolor, True Wireless)",₹449,3.3,With Mic:Yes; Connector type: 3.5mm; ,7 Days Replacement Policy?; 
"OnePlus Bullets Wireless Z2 Bluetooth  (Beam Blue, In the Ear)","₹1,299",4.3,With Mic:Yes; Battery life: 20 Hrs | Charging time: 10 Mins; Battery life: 20 Hrs; Charging time: 10 mins; ,7 Days Service Center Replacement/Repair?; GST invoice available?; 
"realme Buds Wireless 3 with 30dB ANC, 360 degree Spatial Audio, upto 40 hours Playback Bluetooth  (Pure Black, In the Ear)","₹1,599",4.3,With Mic:Yes; Battery life: 40 hrs; 13.6mm Dynamic Titanized Bass Driver; 30dB ANC with 360 degree Spatial Audio Effect | realme Link App Connectivity; Upto 40 Hours Battery Life | Fast-charging support of 10 min charging for 25 hours playback; 45ms ultra-low latency | Bluetooth 5.3 | IP55 Dust and Water Resistance; Dual device Connection with Google Fast Pairing; ,7 Days Service Center Replacement/Repair?; GST invoice available?; 
"HOUSE OF SOUND SERIES 1 Bluetooth  (Black, In the Ear)",₹379,3.6,With Mic:Yes; Connector type: NO; Bluetooth version: 5; Wireless range: 10 m; Battery life: 40 hr | Charging time: 2; ,7 Days Replacement Policy?; 
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, 60H Battery, Rubber Finish, v5.4 Bluetooth  (Punk Yellow, True Wireless)",₹799,3.9,With Mic:Yes; Bluetooth version: 5.3; Wireless range: 10 m; ,7 Days Replacement Policy?; 
"ROAR HB-153 SH12 Headset Super Extra Bass Bluetooth Headset (Furious On the Ear) Bluetooth  (Multicolor, True Wireless)",₹579,3.1,With Mic:Yes; Connector type: 3.5mm; ,7 Days Replacement Policy?; 
"OPPO Enco Buds 2 with 28 hours Battery life & Deep Noise Cancellation Bluetooth  (Midnight, True Wireless)","₹1,399",4.3,With Mic:Yes; Bluetooth version: 5.2; Battery life: 28 hrs | Charging time: 1.5 hrs; 10mm Dynamic Bass Boost Driver - Powerful & Rhythmic Bass; Enco Live Stereo Sound Effects; AI Deep Noise Cancellation | 80ms Ultra Low Latency game mode; Intelligent Touch Controls | IPX4 Water Resistant; ,7 Days Service Center Replacement/Repair?; GST invoice available?; 
"HOUSE OF SOUND SERIES 1 Bluetooth  (Green, In the Ear)",₹379,3.6,With Mic:Yes; Connector type: NO; Bluetooth version: 5; Wireless range: 10 m; Battery life: 40 hr | Charging time: 2; ,7 Days Replacement Policy?; 
"Aroma NB119 Magic 100 Hours Playing Time Fast Charging Bluetooth Neckband Earphone Bluetooth  (Blue, In the Ear)",₹499,4,With Mic:Yes; Bluetooth version: v5.0; Wireless range: 10 m; Battery life: 100 hr | Charging time: 3 Hours; Flatwire: Stays tangle free even in your pocket; ,7 Days Replacement Policy?; 
"realme Buds T110 (RMA2306) with AI ENC for calls, 38 hours of Playback and Deep Bass Bluetooth  (Punk Black, True Wireless)","₹1,299",4.2,With Mic:Yes; Bluetooth version: 5.4; Wireless range: 10 m; ,7 Days Service Center Replacement/Repair?; 
"boAt Airdopes Alpha with 35 HRS Playback, 13mm Drivers, Dual Mics ENx & Beast Mode Bluetooth  (Jet Black, In the Ear)",₹799,3.9,"With Mic:Yes; BEAST Mode: Experience lag-free high-quality gaming with low latency of up to 50 ms. Visuals align with impactful audio for realistic action.; 35 HRS Playback & ASAP Charge: Airdopes Alpha TWS Earbuds offer up to 35 hours of playtime, giving you plenty of time to listen to your preferred tunes. 10 minutes of charging yields about 120 minutes of seamless performance.; boAt Signature Sound: Powered by dual 13 mm drivers, these earbuds deliver matchless boAt Signature sound with superior bass.; |ENx Tech for Clear Voice Calls: To offer unparalleled sound clarity, the dual mics of these earbuds are enhanced with ENxTM tech that wards off background noise.; IPX5 Resistance: You can attend outdoor events while wearing these earbuds as they sport an IPX5-rated build.; ",7 Days Replacement Policy?; GST invoice available?; 
"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Latency Gaming, Made in India, 5.3v Bluetooth  (Ivory White, True Wireless)","₹1,299",4.1,"With Mic:Yes; Bluetooth version: 5.3; Battery life: 48 hrs; Zen Quad mic ENC for crystal-clear voice calls and communication; Impressive 48 Hrs battery life for extended listening sessions; 45ms Ultra-Low Latency Gaming | BoomX Tech for Supreme Bass; Bluetooth version 5.3 | 10m connectivity range | 13mm Drivers; IPX5 Water Resistant | Voice Assistant | Touch Control; Proudly Made in India, supporting local manufacturing and expertise; ",7 Days Replacement Policy?; GST invoice available?; 
"boAt Rockerz 450 w/ 40mm Drivers, 15 HRS Playback, Soft Padded Earcups Bluetooth  (Luscious Black, On the Ear)","₹1,499",4.3,"With Mic:Yes; Connector type: 3.5 mm; Battery life: 15 hr | Charging time: 3 Hours; Drivers- Its 40mm dynamic drivers help pump out immersive HD audio all day long; Playback- It provides a massive battery backup of upto 15 hours for a superior playback time.; Ear Cushions- It has been ergonomically designed and structured as an on-ear headphone to provide the best user experience with its comfortable padded earcushions and lightweight design; Controls- You can control your music without hiccups using the easy access controls, communicate seamlessly using the built-in mic, access voice assistant and always stay in the zone; ",7 Days Replacement Policy?; GST invoice available?; 
"HOUSE OF SOUND SERIES 1 Bluetooth  (Red, In the Ear)",₹379,3.6,With Mic:Yes; Connector type: NO; Bluetooth version: 5; Wireless range: 10 m; Battery life: 40 hr | Charging time: 2; ,7 Days Replacement Policy?; 
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Quad Mic ENC, 40 Hr, v5.3 Bluetooth  (Black, True Wireless)",₹799,4,With Mic:Yes; Bluetooth version: 5.3; Wireless range: 10 m; Battery life: 40 hrs; ,7 Days Replacement Policy?; GST invoice available?; 
"SORAK CREATION 8 Bluetooth  (White, In the Ear)",₹429,3.7,With Mic:Yes; Connector type: 2.5; ,7 Days Replacement Policy?; 
"OnePlus Nord Buds 2r in Ear Earbuds with Dual Mic & AI Crystal Clear Call Bluetooth  (Misty Grey, True Wireless)","₹1,599",4.3,"With Mic:Yes; Bluetooth version: 5.3; [Enhanced Sound Experience]: The buds comes with 12.4mm driver unit, which delivers crisp clear and enhanced bass quality sound experience.; [Crystal Clear Call]: Nord Buds 2r has Dual Mics which work with AI Clear Call algorithm which help in accurately blocking out background noise to keep your calls extra clear.; [Sound Master Equalizers]: For the OnePlus Nord Buds 2r, you get to choose how heavy or light you want your sound with the help of sound master equalizers 3 unique audio profiles -Bold, Bass & Balanced; [Battery Life]:The flagship-level battery life for the all-new OnePlus Nord Buds 2r delivers up to 38 hrs of non-stop music on a single charge; [IP55 rating]: IP55 Water & Sweat Resistance.; [Bluetooth Version]: BT 5.3 Connectivity.; ",7 Days Service Center Replacement/Repair?; GST invoice available?; 
"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm Drivers, Rich Bass, Fast Charging Bluetooth  (Indigo Honey, True Wireless)",₹599,4,With Mic:Yes; Bluetooth version: 5.3; Wireless range: 10 m; ,7 Days Replacement Policy?; 
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, 60H Battery, Rubber Finish, v5.4 Bluetooth  (Azure Blue, True Wireless)",₹799,3.9,With Mic:Yes; Bluetooth version: 5.3; Wireless range: 10 m; ,7 Days Replacement Policy?; 
"OnePlus Buds 3 TWS, in Ear Earbuds with Sliding Volume Control and 49dB ANC Bluetooth Gaming  (Metallic Gray IN, True Wireless)","₹4,599",4.5,"With Mic:Yes; [Best-in-class Sound Quality]: 10.4mm+6mm dynamic dual driver, LHDC5.0 Bluetooth CODEC and high resolution certification makes the product best in its sound quality with deeper bass, delicate treble and clear vocals; [Sliding Volume Control]: Slide on the surface of touch area of buds to adjust the volume.Sliding up increases the volume, while sliding down decreases the volume; [49dB Adaptive Nosie Cancellation]: Advanced noise-cancelling technology,coupled with a high-performance chip,elevates the depth of noise cancellation upto 49dB.This reduces noise and blocks out chaos and allows users to enjoy music immersively; [Dual Connection]:It can simulatenously connect to 2 devices such as Andriod/iOS/Windows smartphone, tablets or computers allowing for quick and seamless device switching; [Battery Life]:It has 10mins of Fast Charging that give 7 hours of Playback time with total music playback upto 44 hours with ANC Off; [IP55 rating]: With IP55 Dust and water resistance there is no fear of sweating or rain; ",7 Days Service Center Replacement/Repair?; GST invoice available?; 
"Apple AirPods(2nd gen) with Charging Case Bluetooth Headset with Mic  (White, True Wireless)","₹7,499",4.5,"With Mic:Yes; Automatically on, automatically connected; Easy setup for all your Apple devices; Quick access to Siri by saying Hey Siri; Double-tap to play or skip forward; ",No Returns Applicable?; GST invoice available?; 
"GUGGU GW-201 SH12 Headset Super Extra Bass Bluetooth Headset (Furious On the Ear) Bluetooth  (Multicolor, True Wireless)",₹579,3.3,With Mic:Yes; Connector type: 3.5mm; ,7 Days Replacement Policy?; 
"Noise Buds VS102 Elite with 50Hr Playtime, ENC, Quad Mic, Chrome finish Flybird Design Bluetooth  (Sky Blue, True Wireless)","₹1,299",3.9,With Mic:Yes; Wireless range: 10 m; Battery life: 50 hrs Playtime; ENC with Quad Mic; Driver Size : 11mm; Instacharge: 10-min = 120-min playtime; Bt v5.3; ,7 Days Replacement Policy?; GST invoice available?; 
"Aroma NB124 Avenger Upto 100 Hours Playtime*,ENC, Voice Changer Fast Charging Neckband Bluetooth  (Midnight Blue, In the Ear)",₹399,3.9,With Mic:Yes; ,7 Days Replacement Policy?; 
"Number Super Buds Pro GT99 Dual Pair, 4 Mic ENC Gaming RGB TWS,35ms Latency,50H Battery Bluetooth  (Glass Black, True Wireless)",₹799,4,With Mic:Yes; ENC GAMING TWS; Ultra 35ms Low latency; 11mm Dynamic Driver; Dual Pairing; Upto 50 Hours Playtime With Fast Charge; ,7 Days Replacement Policy?; GST invoice available?; 
"OnePlus E305A / E305B Bluetooth  (Jazz Green, In the Ear)","₹1,299",4.3,With Mic:Yes; Bluetooth version: 5; Battery life: 20 hrs; ,7 Days Service Center Replacement/Repair?; GST invoice available?; 
"boAt Rockerz 235 Pro with upto 20 Hours Playback & ASAP Charge Bluetooth  (Active Black, In the Ear)",₹799,4.1,With Mic:Yes; Bluetooth version: 5.2; Wireless range: 10 m; Battery time: Upto 20 Hours|ASAP Charge: 10 Mins= 10 Hours; ENx Technology: Clear Voice Calls; Beast Mode: Low Latency for Gaming; Call Vibration Alert; ,7 Days Replacement Policy?; GST invoice available?; 
